# Atomic ae- and pseudo- wavefunctions
#local 1 
#l=0 r_rec=1.10
0.1749004824E-03 -0.2248247372E-02 0.3068941114E-03 -0.1804222802E+02 -0.7763416997E-03
0.1786688069E-03 -0.2296503105E-02 0.3135063092E-03 -0.1804308198E+02 -0.7930683970E-03
0.1824686652E-03 -0.2345157067E-02 0.3201738388E-03 -0.1804391801E+02 -0.8099350658E-03
0.1863003214E-03 -0.2394212544E-02 0.3268971633E-03 -0.1804473417E+02 -0.8269428775E-03
0.1901640415E-03 -0.2443672847E-02 0.3336767496E-03 -0.1804552873E+02 -0.8440930132E-03
0.1940600937E-03 -0.2493541317E-02 0.3405130686E-03 -0.1804630024E+02 -0.8613866637E-03
0.1979887487E-03 -0.2543821317E-02 0.3474065949E-03 -0.1804704747E+02 -0.8788250302E-03
0.2019502793E-03 -0.2594516240E-02 0.3543578072E-03 -0.1804776940E+02 -0.8964093236E-03
0.2059449606E-03 -0.2645629504E-02 0.3613671884E-03 -0.1804846521E+02 -0.9141407651E-03
0.2099730700E-03 -0.2697164554E-02 0.3684352251E-03 -0.1804913424E+02 -0.9320205859E-03
0.2140348872E-03 -0.2749124865E-02 0.3755624082E-03 -0.1804977602E+02 -0.9500500278E-03
0.2181306944E-03 -0.2801513935E-02 0.3827492327E-03 -0.1805039020E+02 -0.9682303428E-03
0.2222607758E-03 -0.2854335294E-02 0.3899961976E-03 -0.1805097660E+02 -0.9865627934E-03
0.2264254184E-03 -0.2907592498E-02 0.3973038062E-03 -0.1805153513E+02 -0.1005048653E-02
0.2306249114E-03 -0.2961289131E-02 0.4046725660E-03 -0.1805206582E+02 -0.1023689205E-02
0.2348595464E-03 -0.3015428807E-02 0.4121029886E-03 -0.1805256880E+02 -0.1042485744E-02
0.2391296174E-03 -0.3070015167E-02 0.4195955902E-03 -0.1805304427E+02 -0.1061439575E-02
0.2434354211E-03 -0.3125051881E-02 0.4271508910E-03 -0.1805349252E+02 -0.1080552014E-02
0.2477772563E-03 -0.3180542650E-02 0.4347694157E-03 -0.1805391391E+02 -0.1099824390E-02
0.2521554247E-03 -0.3236491202E-02 0.4424516934E-03 -0.1805430884E+02 -0.1119258040E-02
0.2565702303E-03 -0.3292901297E-02 0.4501982575E-03 -0.1805467777E+02 -0.1138854313E-02
0.2610219797E-03 -0.3349776724E-02 0.4580096460E-03 -0.1805502119E+02 -0.1158614571E-02
0.2655109820E-03 -0.3407121301E-02 0.4658864014E-03 -0.1805533965E+02 -0.1178540186E-02
0.2700375489E-03 -0.3464938878E-02 0.4738290707E-03 -0.1805563370E+02 -0.1198632541E-02
0.2746019948E-03 -0.3523233333E-02 0.4818382055E-03 -0.1805590393E+02 -0.1218893033E-02
0.2792046367E-03 -0.3582008580E-02 0.4899143619E-03 -0.1805615093E+02 -0.1239323067E-02
0.2838457942E-03 -0.3641268558E-02 0.4980581008E-03 -0.1805637533E+02 -0.1259924063E-02
0.2885257896E-03 -0.3701017241E-02 0.5062699877E-03 -0.1805657775E+02 -0.1280697451E-02
0.2932449480E-03 -0.3761258633E-02 0.5145505930E-03 -0.1805675881E+02 -0.1301644674E-02
0.2980035969E-03 -0.3821996773E-02 0.5229004916E-03 -0.1805691915E+02 -0.1322767186E-02
0.3028020670E-03 -0.3883235727E-02 0.5313202634E-03 -0.1805705939E+02 -0.1344066455E-02
0.3076406914E-03 -0.3944979597E-02 0.5398104931E-03 -0.1805718018E+02 -0.1365543960E-02
0.3125198061E-03 -0.4007232516E-02 0.5483717704E-03 -0.1805728212E+02 -0.1387201191E-02
0.3174397500E-03 -0.4069998651E-02 0.5570046897E-03 -0.1805736584E+02 -0.1409039654E-02
0.3224008648E-03 -0.4133282201E-02 0.5657098506E-03 -0.1805743194E+02 -0.1431060864E-02
0.3274034949E-03 -0.4197087399E-02 0.5744878575E-03 -0.1805748101E+02 -0.1453266350E-02
0.3324479878E-03 -0.4261418512E-02 0.5833393202E-03 -0.1805751365E+02 -0.1475657656E-02
0.3375346938E-03 -0.4326279839E-02 0.5922648532E-03 -0.1805753042E+02 -0.1498236336E-02
0.3426639661E-03 -0.4391675715E-02 0.6012650765E-03 -0.1805753188E+02 -0.1521003957E-02
0.3478361609E-03 -0.4457610509E-02 0.6103406149E-03 -0.1805751858E+02 -0.1543962102E-02
0.3530516375E-03 -0.4524088623E-02 0.6194920989E-03 -0.1805749104E+02 -0.1567112363E-02
0.3583107579E-03 -0.4591114498E-02 0.6287201638E-03 -0.1805744978E+02 -0.1590456350E-02
