# Atomic ae- and pseudo- wavefunctions
#local 1 
#l=0 r_rec=1.80
0.3041144421E-04 0.1108545440E-02 0.5958291991E-05 -0.1079811232E+03 0.1721173035E-03
0.3105005357E-04 0.1129886866E-02 0.6083410057E-05 -0.1079807459E+03 0.1757315916E-03
0.3169400691E-04 0.1151369195E-02 0.6209575129E-05 -0.1079803662E+03 0.1793761247E-03
0.3234334896E-04 0.1172993786E-02 0.6336795970E-05 -0.1079799842E+03 0.1830511557E-03
0.3299812479E-04 0.1194762000E-02 0.6465081414E-05 -0.1079795999E+03 0.1867569399E-03
0.3365837989E-04 0.1216675197E-02 0.6594440370E-05 -0.1079792132E+03 0.1904937348E-03
0.3432416010E-04 0.1238734737E-02 0.6724881822E-05 -0.1079788241E+03 0.1942617997E-03
0.3499551167E-04 0.1260941985E-02 0.6856414828E-05 -0.1079784326E+03 0.1980613963E-03
0.3567248121E-04 0.1283298304E-02 0.6989048522E-05 -0.1079780387E+03 0.2018927885E-03
0.3635511573E-04 0.1305805062E-02 0.7122792115E-05 -0.1079776424E+03 0.2057562424E-03
0.3704346264E-04 0.1328463628E-02 0.7257654894E-05 -0.1079772437E+03 0.2096520263E-03
0.3773756974E-04 0.1351275375E-02 0.7393646226E-05 -0.1079768426E+03 0.2135804107E-03
0.3843748524E-04 0.1374241678E-02 0.7530775554E-05 -0.1079764391E+03 0.2175416684E-03
0.3914325773E-04 0.1397363917E-02 0.7669052402E-05 -0.1079760331E+03 0.2215360745E-03
0.3985493624E-04 0.1420643474E-02 0.7808486371E-05 -0.1079756247E+03 0.2255639065E-03
0.4057257018E-04 0.1444081739E-02 0.7949087144E-05 -0.1079752138E+03 0.2296254439E-03
0.4129620939E-04 0.1467680101E-02 0.8090864487E-05 -0.1079748004E+03 0.2337209689E-03
0.4202590412E-04 0.1491439958E-02 0.8233828244E-05 -0.1079743846E+03 0.2378507658E-03
0.4276170506E-04 0.1515362712E-02 0.8377988343E-05 -0.1079739663E+03 0.2420151216E-03
0.4350366328E-04 0.1539449768E-02 0.8523354796E-05 -0.1079735455E+03 0.2462143253E-03
0.4425183033E-04 0.1563702538E-02 0.8669937698E-05 -0.1079731221E+03 0.2504486685E-03
0.4500625815E-04 0.1588122441E-02 0.8817747228E-05 -0.1079726963E+03 0.2547184455E-03
0.4576699913E-04 0.1612710900E-02 0.8966793650E-05 -0.1079722679E+03 0.2590239525E-03
0.4653410612E-04 0.1637469345E-02 0.9117087316E-05 -0.1079718369E+03 0.2633654887E-03
0.4730763237E-04 0.1662399210E-02 0.9268638662E-05 -0.1079714034E+03 0.2677433555E-03
0.4808763160E-04 0.1687501938E-02 0.9421458213E-05 -0.1079709672E+03 0.2721578570E-03
0.4887415799E-04 0.1712778979E-02 0.9575556581E-05 -0.1079705285E+03 0.2766092997E-03
0.4966726615E-04 0.1738231787E-02 0.9730944467E-05 -0.1079700872E+03 0.2810979927E-03
0.5046701117E-04 0.1763861826E-02 0.9887632663E-05 -0.1079696432E+03 0.2856242478E-03
0.5127344857E-04 0.1789670564E-02 0.1004563205E-04 -0.1079691966E+03 0.2901883793E-03
0.5208663436E-04 0.1815659479E-02 0.1020495360E-04 -0.1079687473E+03 0.2947907042E-03
0.5290662501E-04 0.1841830056E-02 0.1036560838E-04 -0.1079682953E+03 0.2994315420E-03
0.5373347747E-04 0.1868183787E-02 0.1052760754E-04 -0.1079678406E+03 0.3041112150E-03
0.5456724915E-04 0.1894722171E-02 0.1069096233E-04 -0.1079673832E+03 0.3088300483E-03
0.5540799797E-04 0.1921446717E-02 0.1085568410E-04 -0.1079669231E+03 0.3135883695E-03
0.5625578230E-04 0.1948358941E-02 0.1102178429E-04 -0.1079664602E+03 0.3183865090E-03
0.5711066102E-04 0.1975460366E-02 0.1118927443E-04 -0.1079659945E+03 0.3232248001E-03
0.5797269349E-04 0.2002752525E-02 0.1135816616E-04 -0.1079655260E+03 0.3281035788E-03
0.5884193958E-04 0.2030236960E-02 0.1152847119E-04 -0.1079650547E+03 0.3330231838E-03
0.5971845965E-04 0.2057915220E-02 0.1170020137E-04 -0.1079645806E+03 0.3379839568E-03
0.6060231458E-04 0.2085788864E-02 0.1187336861E-04 -0.1079641036E+03 0.3429862423E-03
0.6149356574E-04 0.2113859458E-02 0.1204798493E-04 -0.1079636236E+03 0.3480303877E-03
0.6239227503E-04 0.2142128581E-02 0.1222406248E-04 -0.1079631408E+03 0.3531167433E-03
0.6329850485E-04 0.2170597816E-02 0.1240161347E-04 -0.1079626551E+03 0.3582456623E-03
0.6421231814E-04 0.2199268760E-02 0.1258065023E-04 -0.1079621663E+03 0.3634175008E-03
0.6513377836E-04 0.2228143016E-02 0.1276118520E-04 -0.1079616746E+03 0.3686326181E-03
0.6606294950E-04 0.2257222199E-02 0.1294323091E-04 -0.1079611799E+03 0.3738913763E-03
0.6699989609E-04 0.2286507932E-02 0.1312680001E-04 -0.1079606822E+03 0.3791941406E-03
0.6794468319E-04 0.2316001847E-02 0.1331190524E-04 -0.1079601813E+03 0.3845412792E-03
0.6889737641E-04 0.2345705590E-02 0.1349855947E-04 -0.1079596774E+03 0.3899331635E-03
0.6985804191E-04 0.2375620812E-02 0.1368677564E-04 -0.1079591704E+03 0.3953701678E-03
0.7082674640E-04 0.2405749177E-02 0.1387656684E-04 -0.1079586603E+03 0.4008526699E-03
0.7180355717E-04 0.2436092358E-02 0.1406794623E-04 -0.1079581470E+03 0.4063810504E-03
0.7278854203E-04 0.2466652040E-02 0.1426092712E-04 -0.1079576305E+03 0.4119556932E-03
0.7378176940E-04 0.2497429917E-02 0.1445552290E-04 -0.1079571108E+03 0.4175769855E-03
