# Atomic ae- and pseudo- wavefunctions
#local 1 
#l=0 r_rec=1.40
0.1574104342E-03 -0.2389476035E-02 0.3852628138E-03 -0.2003729123E+02 -0.1528470531E-02
0.1608019262E-03 -0.2440736707E-02 0.3935635068E-03 -0.2003808414E+02 -0.1561402247E-02
0.1642217987E-03 -0.2492419848E-02 0.4019336613E-03 -0.2003888056E+02 -0.1594609540E-02
0.1676702893E-03 -0.2544528949E-02 0.4103738585E-03 -0.2003967719E+02 -0.1628094716E-02
0.1711476373E-03 -0.2597067524E-02 0.4188846845E-03 -0.2004047094E+02 -0.1661860102E-02
0.1746540844E-03 -0.2650039118E-02 0.4274667304E-03 -0.2004125899E+02 -0.1695908042E-02
0.1781898739E-03 -0.2703447303E-02 0.4361205921E-03 -0.2004203875E+02 -0.1730240900E-02
0.1817552514E-03 -0.2757295679E-02 0.4448468706E-03 -0.2004280786E+02 -0.1764861060E-02
0.1853504646E-03 -0.2811587875E-02 0.4536461719E-03 -0.2004356417E+02 -0.1799770927E-02
0.1889757630E-03 -0.2866327547E-02 0.4625191070E-03 -0.2004430577E+02 -0.1834972926E-02
0.1926313985E-03 -0.2921518381E-02 0.4714662922E-03 -0.2004503094E+02 -0.1870469500E-02
0.1963176249E-03 -0.2977164093E-02 0.4804883488E-03 -0.2004573815E+02 -0.1906263115E-02
0.2000346982E-03 -0.3033268426E-02 0.4895859033E-03 -0.2004642609E+02 -0.1942356256E-02
0.2037828766E-03 -0.3089835154E-02 0.4987595874E-03 -0.2004709359E+02 -0.1978751430E-02
0.2075624203E-03 -0.3146868083E-02 0.5080100383E-03 -0.2004773966E+02 -0.2015451164E-02
0.2113735917E-03 -0.3204371044E-02 0.5173378984E-03 -0.2004836346E+02 -0.2052458008E-02
0.2152166557E-03 -0.3262347904E-02 0.5267438153E-03 -0.2004896431E+02 -0.2089774530E-02
0.2190918790E-03 -0.3320802556E-02 0.5362284424E-03 -0.2004954165E+02 -0.2127403323E-02
0.2229995307E-03 -0.3379738927E-02 0.5457924382E-03 -0.2005009505E+02 -0.2165346999E-02
0.2269398823E-03 -0.3439160973E-02 0.5554364669E-03 -0.2005062417E+02 -0.2203608194E-02
0.2309132073E-03 -0.3499072683E-02 0.5651611983E-03 -0.2005112882E+02 -0.2242189564E-02
0.2349197817E-03 -0.3559478077E-02 0.5749673077E-03 -0.2005160887E+02 -0.2281093788E-02
0.2389598838E-03 -0.3620381207E-02 0.5848554760E-03 -0.2005206428E+02 -0.2320323570E-02
0.2430337940E-03 -0.3681786156E-02 0.5948263900E-03 -0.2005249510E+02 -0.2359881632E-02
0.2471417953E-03 -0.3743697041E-02 0.6048807421E-03 -0.2005290145E+02 -0.2399770722E-02
0.2512841730E-03 -0.3806118010E-02 0.6150192304E-03 -0.2005328349E+02 -0.2439993610E-02
0.2554612148E-03 -0.3869053247E-02 0.6252425591E-03 -0.2005364148E+02 -0.2480553089E-02
0.2596732107E-03 -0.3932506965E-02 0.6355514381E-03 -0.2005397568E+02 -0.2521451976E-02
0.2639204532E-03 -0.3996483414E-02 0.6459465833E-03 -0.2005428642E+02 -0.2562693111E-02
