# Atomic ae- and pseudo- wavefunctions
#local 2 
#l=0 r_rec=1.60
0.4466720172E-04 -0.1083968051E-02 0.1746827988E-04 -0.7199119158E+02 0.1737450726E-03
0.4561716631E-04 -0.1106166771E-02 0.1783978844E-04 -0.7199112863E+02 0.1774402149E-03
0.4657508036E-04 -0.1128533171E-02 0.1821440583E-04 -0.7199106903E+02 0.1811662788E-03
0.4754101037E-04 -0.1151068709E-02 0.1859215808E-04 -0.7199101272E+02 0.1849235229E-03
0.4851502343E-04 -0.1173774852E-02 0.1897307142E-04 -0.7199095961E+02 0.1887122082E-03
0.4949718719E-04 -0.1196653075E-02 0.1935717230E-04 -0.7199090961E+02 0.1925325978E-03
0.5048756984E-04 -0.1219704858E-02 0.1974448739E-04 -0.7199086264E+02 0.1963849570E-03
0.5148624016E-04 -0.1242931691E-02 0.2013504360E-04 -0.7199081857E+02 0.2002695533E-03
0.5249326750E-04 -0.1266335072E-02 0.2052886804E-04 -0.7199077731E+02 0.2041866565E-03
0.5350872181E-04 -0.1289916504E-02 0.2092598806E-04 -0.7199073874E+02 0.2081365386E-03
0.5453267359E-04 -0.1313677503E-02 0.2132643124E-04 -0.7199070274E+02 0.2121194740E-03
0.5556519396E-04 -0.1337619590E-02 0.2173022539E-04 -0.7199066918E+02 0.2161357391E-03
0.5660635461E-04 -0.1361744297E-02 0.2213739856E-04 -0.7199063792E+02 0.2201856130E-03
0.5765622785E-04 -0.1386053164E-02 0.2254797901E-04 -0.7199060883E+02 0.2242693769E-03
0.5871488660E-04 -0.1410547740E-02 0.2296199526E-04 -0.7199058176E+02 0.2283873143E-03
0.5978240436E-04 -0.1435229584E-02 0.2337947606E-04 -0.7199055657E+02 0.2325397112E-03
0.6085885527E-04 -0.1460100265E-02 0.2380045041E-04 -0.7199053310E+02 0.2367268560E-03
0.6194431409E-04 -0.1485161359E-02 0.2422494753E-04 -0.7199051119E+02 0.2409490395E-03
0.6303885619E-04 -0.1510414456E-02 0.2465299691E-04 -0.7199049071E+02 0.2452065548E-03
0.6414255758E-04 -0.1535861153E-02 0.2508462827E-04 -0.7199047147E+02 0.2494996977E-03
0.6525549492E-04 -0.1561503058E-02 0.2551987159E-04 -0.7199045332E+02 0.2538287662E-03
0.6637774549E-04 -0.1587341789E-02 0.2595875709E-04 -0.7199043610E+02 0.2581940611E-03
0.6750938722E-04 -0.1613378976E-02 0.2640131525E-04 -0.7199041965E+02 0.2625958854E-03
0.6865049870E-04 -0.1639616259E-02 0.2684757681E-04 -0.7199040379E+02 0.2670345449E-03
0.6980115917E-04 -0.1666055287E-02 0.2729757275E-04 -0.7199038838E+02 0.2715103477E-03
0.7096144855E-04 -0.1692697722E-02 0.2775133433E-04 -0.7199037324E+02 0.2760236047E-03
0.7213144741E-04 -0.1719545237E-02 0.2820889305E-04 -0.7199035821E+02 0.2805746294E-03
0.7331123699E-04 -0.1746599515E-02 0.2867028069E-04 -0.7199034315E+02 0.2851637377E-03
0.7450089923E-04 -0.1773862252E-02 0.2913552930E-04 -0.7199032788E+02 0.2897912484E-03
0.7570051675E-04 -0.1801335154E-02 0.2960467118E-04 -0.7199031228E+02 0.2944574828E-03
0.7691017285E-04 -0.1829019939E-02 0.3007773891E-04 -0.7199029617E+02 0.2991627649E-03
0.7812995153E-04 -0.1856918337E-02 0.3055476534E-04 -0.7199027944E+02 0.3039074216E-03
0.7935993751E-04 -0.1885032091E-02 0.3103578360E-04 -0.7199026192E+02 0.3086917822E-03
0.8060021620E-04 -0.1913362954E-02 0.3152082709E-04 -0.7199024350E+02 0.3135161792E-03
0.8185087373E-04 -0.1941912693E-02 0.3200992951E-04 -0.7199022406E+02 0.3183809474E-03
0.8311199695E-04 -0.1970683086E-02 0.3250312481E-04 -0.7199020346E+02 0.3232864247E-03
0.8438367345E-04 -0.1999675923E-02 0.3300044724E-04 -0.7199018160E+02 0.3282329519E-03
0.8566599152E-04 -0.2028893009E-02 0.3350193134E-04 -0.7199015838E+02 0.3332208723E-03
0.8695904023E-04 -0.2058336160E-02 0.3400761194E-04 -0.7199013369E+02 0.3382505324E-03
0.8826290937E-04 -0.2088007204E-02 0.3451752415E-04 -0.7199010746E+02 0.3433222814E-03
0.8957768948E-04 -0.2117907983E-02 0.3503170338E-04 -0.7199007960E+02 0.3484364716E-03
0.9090347187E-04 -0.2148040353E-02 0.3555018534E-04 -0.7199005004E+02 0.3535934582E-03
0.9224034862E-04 -0.2178406182E-02 0.3607300604E-04 -0.7199001872E+02 0.3587935992E-03
0.9358841255E-04 -0.2209007351E-02 0.3660020179E-04 -0.7198998559E+02 0.3640372557E-03
0.9494775728E-04 -0.2239845754E-02 0.3713180918E-04 -0.7198995060E+02 0.3693247920E-03
0.9631847722E-04 -0.2270923301E-02 0.3766786515E-04 -0.7198991372E+02 0.3746565752E-03
0.9770066755E-04 -0.2302241914E-02 0.3820840692E-04 -0.7198987492E+02 0.3800329755E-03
0.9909442426E-04 -0.2333803528E-02 0.3875347203E-04 -0.7198983420E+02 0.3854543664E-03
0.1004998441E-03 -0.2365610093E-02 0.3930309832E-04 -0.7198979153E+02 0.3909211244E-03
0.1019170248E-03 -0.2397663574E-02 0.3985732397E-04 -0.7198974692E+02 0.3964336289E-03
0.1033460646E-03 -0.2429965948E-02 0.4041618747E-04 -0.7198970038E+02 0.4019922630E-03
0.1047870629E-03 -0.2462519208E-02 0.4097972762E-04 -0.7198965193E+02 0.4075974126E-03
0.1062401196E-03 -0.2495325360E-02 0.4154798356E-04 -0.7198960160E+02 0.4132494669E-03
0.1077053357E-03 -0.2528386426E-02 0.4212099475E-04 -0.7198954942E+02 0.4189488184E-03
0.1091828130E-03 -0.2561704442E-02 0.4269880099E-04 -0.7198949542E+02 0.4246958630E-03
0.1106726541E-03 -0.2595281458E-02 0.4328144240E-04 -0.7198943965E+02 0.4304909997E-03
0.1121749624E-03 -0.2629119541E-02 0.4386895945E-04 -0.7198938217E+02 0.4363346311E-03
0.1136898422E-03 -0.2663220770E-02 0.4446139292E-04 -0.7198932303E+02 0.4422271628E-03
0.1152173987E-03 -0.2697587242E-02 0.4505878397E-04 -0.7198926229E+02 0.4481690041E-03
0.1167577381E-03 -0.2732221067E-02 0.4566117408E-04 -0.7198920001E+02 0.4541605676E-03
0.1183109673E-03 -0.2767124373E-02 0.4626860508E-04 -0.7198913627E+02 0.4602022695E-03
0.1198771941E-03 -0.2802299300E-02 0.4688111916E-04 -0.7198907112E+02 0.4662945293E-03
0.1214565274E-03 -0.2837748007E-02 0.4749875885E-04 -0.7198900464E+02 0.4724377700E-03
0.1230490767E-03 -0.2873472667E-02 0.4812156705E-04 -0.7198893691E+02 0.4786324182E-03
0.1246549528E-03 -0.2909475469E-02 0.4874958699E-04 -0.7198886797E+02 0.4848789043E-03
0.1262742671E-03 -0.2945758618E-02 0.4938286231E-04 -0.7198879791E+02 0.4911776619E-03
0.1279071320E-03 -0.2982324336E-02 0.5002143697E-04 -0.7198872679E+02 0.4975291284E-03
