# Atomic ae- and pseudo- wavefunctions
#local 2
#l=0 r_rec=0.90
0.5955626896E-04 0.2223324808E-02 0.9328723948E-04 -0.5400617510E+02 -0.5888236015E-04
0.6082288842E-04 0.2269596323E-02 0.9527123607E-04 -0.5400652102E+02 -0.6013464718E-04
0.6210010714E-04 0.2316232573E-02 0.9727183504E-04 -0.5400686498E+02 -0.6139741354E-04
0.6338801383E-04 0.2363236648E-02 0.9928917534E-04 -0.5400720631E+02 -0.6267074692E-04
0.6468669791E-04 0.2410611654E-02 0.1013233970E-03 -0.5400754432E+02 -0.6395473575E-04
0.6599624958E-04 0.2458360717E-02 0.1033746414E-03 -0.5400787837E+02 -0.6524946919E-04
0.6731675978E-04 0.2506486986E-02 0.1054430509E-03 -0.5400820786E+02 -0.6655503716E-04
0.6864832021E-04 0.2554993627E-02 0.1075287692E-03 -0.5400853219E+02 -0.6787153032E-04
0.6999102334E-04 0.2603883831E-02 0.1096319411E-03 -0.5400885082E+02 -0.6919904009E-04
0.7134496241E-04 0.2653160806E-02 0.1117527127E-03 -0.5400916323E+02 -0.7053765867E-04
0.7271023145E-04 0.2702827786E-02 0.1138912312E-03 -0.5400946895E+02 -0.7188747902E-04
0.7408692528E-04 0.2752888023E-02 0.1160476451E-03 -0.5400976755E+02 -0.7324859486E-04
0.7547513948E-04 0.2803344795E-02 0.1182221043E-03 -0.5401005863E+02 -0.7462110073E-04
0.7687497047E-04 0.2854201399E-02 0.1204147596E-03 -0.5401034185E+02 -0.7600509194E-04
0.7828651546E-04 0.2905461157E-02 0.1226257635E-03 -0.5401061689E+02 -0.7740066460E-04
0.7970987248E-04 0.2957127415E-02 0.1248552693E-03 -0.5401088351E+02 -0.7880791562E-04
0.8114514036E-04 0.3009203540E-02 0.1271034320E-03 -0.5401114150E+02 -0.8022694273E-04
0.8259241878E-04 0.3061692926E-02 0.1293704077E-03 -0.5401139067E+02 -0.8165784448E-04
0.8405180825E-04 0.3114598987E-02 0.1316563538E-03 -0.5401163093E+02 -0.8310072023E-04
0.8552341011E-04 0.3167925165E-02 0.1339614290E-03 -0.5401186219E+02 -0.8455567018E-04
0.8700732656E-04 0.3221674926E-02 0.1362857934E-03 -0.5401208442E+02 -0.8602279538E-04
0.8850366065E-04 0.3275851758E-02 0.1386296085E-03 -0.5401229766E+02 -0.8750219770E-04
0.9001251629E-04 0.3330459178E-02 0.1409930370E-03 -0.5401250196E+02 -0.8899397989E-04
0.9153399826E-04 0.3385500726E-02 0.1433762430E-03 -0.5401269742E+02 -0.9049824554E-04
0.9306821223E-04 0.3440979970E-02 0.1457793921E-03 -0.5401288420E+02 -0.9201509911E-04
0.9461526473E-04 0.3496900500E-02 0.1482026511E-03 -0.5401306248E+02 -0.9354464595E-04
0.9617526321E-04 0.3553265937E-02 0.1506461882E-03 -0.5401323249E+02 -0.9508699226E-04
0.9774831599E-04 0.3610079925E-02 0.1531101733E-03 -0.5401339449E+02 -0.9664224517E-04
0.9933453231E-04 0.3667346137E-02 0.1555947774E-03 -0.5401354878E+02 -0.9821051266E-04
0.1009340223E-03 0.3725068272E-02 0.1581001730E-03 -0.5401369567E+02 -0.9979190366E-04
0.1025468971E-03 0.3783250056E-02 0.1606265342E-03 -0.5401383552E+02 -0.1013865280E-03
0.1041732687E-03 0.3841895242E-02 0.1631740363E-03 -0.5401396871E+02 -0.1029944964E-03
0.1058132500E-03 0.3901007613E-02 0.1657428564E-03 -0.5401409564E+02 -0.1046159205E-03
0.1074669549E-03 0.3960590979E-02 0.1683331727E-03 -0.5401421673E+02 -0.1062509129E-03
0.1091344983E-03 0.4020649178E-02 0.1709451652E-03 -0.5401433241E+02 -0.1078995872E-03
0.1108159959E-03 0.4081186075E-02 0.1735790152E-03 -0.5401444313E+02 -0.1095620578E-03
0.1125115646E-03 0.4142205568E-02 0.1762349057E-03 -0.5401454935E+02 -0.1112384403E-03
0.1142213220E-03 0.4203711580E-02 0.1789130211E-03 -0.5401465153E+02 -0.1129288510E-03
0.1159453870E-03 0.4265708065E-02 0.1816135474E-03 -0.5401475014E+02 -0.1146334072E-03
0.1176838792E-03 0.4328199008E-02 0.1843366721E-03 -0.5401484564E+02 -0.1163522275E-03
0.1194369193E-03 0.4391188420E-02 0.1870825844E-03 -0.5401493849E+02 -0.1180854312E-03
0.1212046292E-03 0.4454680346E-02 0.1898514748E-03 -0.5401502916E+02 -0.1198331385E-03
0.1229871315E-03 0.4518678860E-02 0.1926435358E-03 -0.5401511807E+02 -0.1215954709E-03
0.1247845501E-03 0.4583188066E-02 0.1954589611E-03 -0.5401520568E+02 -0.1233725508E-03
0.1265970097E-03 0.4648212099E-02 0.1982979464E-03 -0.5401529238E+02 -0.1251645016E-03
0.1284246363E-03 0.4713755125E-02 0.2011606888E-03 -0.5401537859E+02 -0.1269714476E-03
0.1302675567E-03 0.4779821343E-02 0.2040473870E-03 -0.5401546468E+02 -0.1287935145E-03
0.1321258990E-03 0.4846414982E-02 0.2069582415E-03 -0.5401555099E+02 -0.1306308287E-03
0.1339997922E-03 0.4913540303E-02 0.2098934546E-03 -0.5401563786E+02 -0.1324835179E-03
0.1358893664E-03 0.4981201599E-02 0.2128532299E-03 -0.5401572558E+02 -0.1343517106E-03
0.1377947528E-03 0.5049403197E-02 0.2158377731E-03 -0.5401581444E+02 -0.1362355366E-03
0.1397160838E-03 0.5118149455E-02 0.2188472914E-03 -0.5401590465E+02 -0.1381351268E-03
0.1416534928E-03 0.5187444764E-02 0.2218819939E-03 -0.5401599643E+02 -0.1400506131E-03
0.1436071143E-03 0.5257293550E-02 0.2249420912E-03 -0.5401608996E+02 -0.1419821284E-03
0.1455770841E-03 0.5327700270E-02 0.2280277959E-03 -0.5401618536E+02 -0.1439298069E-03
0.1475635388E-03 0.5398669415E-02 0.2311393222E-03 -0.5401628273E+02 -0.1458937839E-03
0.1495666165E-03 0.5470205513E-02 0.2342768863E-03 -0.5401638215E+02 -0.1478741958E-03
0.1515864562E-03 0.5542313122E-02 0.2374407060E-03 -0.5401648363E+02 -0.1498711801E-03
0.1536231983E-03 0.5614996838E-02 0.2406310010E-03 -0.5401658716E+02 -0.1518848754E-03
0.1556769842E-03 0.5688261290E-02 0.2438479929E-03 -0.5401669271E+02 -0.1539154216E-03
0.1577479564E-03 0.5762111142E-02 0.2470919051E-03 -0.5401680018E+02 -0.1559629598E-03
0.1598362588E-03 0.5836551094E-02 0.2503629629E-03 -0.5401690945E+02 -0.1580276321E-03
0.1619420365E-03 0.5911585881E-02 0.2536613934E-03 -0.5401702038E+02 -0.1601095818E-03
0.1640654357E-03 0.5987220275E-02 0.2569874256E-03 -0.5401713277E+02 -0.1622089536E-03
0.1662066037E-03 0.6063459082E-02 0.2603412906E-03 -0.5401724639E+02 -0.1643258933E-03
0.1683656894E-03 0.6140307147E-02 0.2637232213E-03 -0.5401736100E+02 -0.1664605479E-03
0.1705428427E-03 0.6217769349E-02 0.2671334526E-03 -0.5401747630E+02 -0.1686130656E-03
0.1727382147E-03 0.6295850606E-02 0.2705722211E-03 -0.5401759197E+02 -0.1707835959E-03
0.1749519579E-03 0.6374555873E-02 0.2740397658E-03 -0.5401770769E+02 -0.1729722895E-03
0.1771842260E-03 0.6453890142E-02 0.2775363275E-03 -0.5401782307E+02 -0.1751792984E-03
0.1794351742E-03 0.6533858443E-02 0.2810621490E-03 -0.5401793771E+02 -0.1774047759E-03
0.1817049585E-03 0.6614465842E-02 0.2846174750E-03 -0.5401805122E+02 -0.1796488765E-03
0.1839937368E-03 0.6695717448E-02 0.2882025526E-03 -0.5401816313E+02 -0.1819117562E-03
0.1863016680E-03 0.6777618405E-02 0.2918176307E-03 -0.5401827301E+02 -0.1841935719E-03
0.1886289122E-03 0.6860173896E-02 0.2954629604E-03 -0.5401838037E+02 -0.1864944822E-03
0.1909756312E-03 0.6943389145E-02 0.2991387947E-03 -0.5401848474E+02 -0.1888146469E-03
0.1933419879E-03 0.7027269414E-02 0.3028453890E-03 -0.5401858560E+02 -0.1911542271E-03
0.1957281466E-03 0.7111820006E-02 0.3065830006E-03 -0.5401868246E+02 -0.1935133853E-03
0.1981342731E-03 0.7197046262E-02 0.3103518892E-03 -0.5401877479E+02 -0.1958922852E-03
0.2005605343E-03 0.7282953567E-02 0.3141523164E-03 -0.5401886208E+02 -0.1982910921E-03
0.2030070990E-03 0.7369547343E-02 0.3179845462E-03 -0.5401894378E+02 -0.2007099727E-03
0.2054741368E-03 0.7456833054E-02 0.3218488447E-03 -0.5401901938E+02 -0.2031490947E-03
0.2079618192E-03 0.7544816206E-02 0.3257454803E-03 -0.5401908834E+02 -0.2056086278E-03
0.2104703189E-03 0.7633502347E-02 0.3296747235E-03 -0.5401915014E+02 -0.2080887425E-03
0.2129998101E-03 0.7722897066E-02 0.3336368472E-03 -0.5401920425E+02 -0.2105896113E-03
0.2155504685E-03 0.7813005993E-02 0.3376321267E-03 -0.5401925015E+02 -0.2131114077E-03
0.2181224711E-03 0.7903834801E-02 0.3416608392E-03 -0.5401928732E+02 -0.2156543069E-03
0.2207159967E-03 0.7995389209E-02 0.3457232647E-03 -0.5401931527E+02 -0.2182184854E-03
0.2233312253E-03 0.8087674974E-02 0.3498196852E-03 -0.5401933349E+02 -0.2208041214E-03
0.2259683385E-03 0.8180697899E-02 0.3539503852E-03 -0.5401934150E+02 -0.2234113944E-03
0.2286275195E-03 0.8274463831E-02 0.3581156515E-03 -0.5401933884E+02 -0.2260404854E-03
0.2313089529E-03 0.8368978660E-02 0.3623157734E-03 -0.5401932503E+02 -0.2286915771E-03
0.2340128250E-03 0.8464248320E-02 0.3665510427E-03 -0.5401929964E+02 -0.2313648535E-03
0.2367393235E-03 0.8560278791E-02 0.3708217533E-03 -0.5401926224E+02 -0.2340605002E-03
0.2394886377E-03 0.8657076097E-02 0.3751282019E-03 -0.5401921241E+02 -0.2367787046E-03
0.2422609586E-03 0.8754646306E-02 0.3794706876E-03 -0.5401914975E+02 -0.2395196553E-03
0.2450564787E-03 0.8852995533E-02 0.3838495119E-03 -0.5401907390E+02 -0.2422835427E-03
0.2478753922E-03 0.8952129939E-02 0.3882649789E-03 -0.5401898448E+02 -0.2450705588E-03
0.2507178947E-03 0.9052055731E-02 0.3927173952E-03 -0.5401888115E+02 -0.2478808970E-03
0.2535841837E-03 0.9152779160E-02 0.3972070701E-03 -0.5401876359E+02 -0.2507147526E-03
0.2564744583E-03 0.9254306528E-02 0.4017343153E-03 -0.5401863150E+02 -0.2535723222E-03
0.2593889192E-03 0.9356644181E-02 0.4062994452E-03 -0.5401848458E+02 -0.2564538045E-03
0.2623277687E-03 0.9459798514E-02 0.4109027768E-03 -0.5401832258E+02 -0.2593593995E-03
0.2652912109E-03 0.9563775967E-02 0.4155446299E-03 -0.5401814523E+02 -0.2622893089E-03
0.2682794517E-03 0.9668583032E-02 0.4202253267E-03 -0.5401795232E+02 -0.2652437362E-03
0.2712926985E-03 0.9774226246E-02 0.4249451923E-03 -0.5401774363E+02 -0.2682228867E-03
0.2743311606E-03 0.9880712198E-02 0.4297045546E-03 -0.5401751897E+02 -0.2712269671E-03
0.2773950491E-03 0.9988047522E-02 0.4345037439E-03 -0.5401727817E+02 -0.2742561861E-03
0.2804845766E-03 0.1009623890E-01 0.4393430937E-03 -0.5401702107E+02 -0.2773107541E-03
0.2835999578E-03 0.1020529308E-01 0.4442229399E-03 -0.5401674754E+02 -0.2803908832E-03
0.2867414089E-03 0.1031521684E-01 0.4491436215E-03 -0.5401645745E+02 -0.2834967872E-03
0.2899091482E-03 0.1042601701E-01 0.4541054801E-03 -0.5401615071E+02 -0.2866286820E-03
0.2931033956E-03 0.1053770048E-01 0.4591088603E-03 -0.5401582722E+02 -0.2897867849E-03
0.2963243730E-03 0.1065027418E-01 0.4641541097E-03 -0.5401548691E+02 -0.2929713153E-03
0.2995723040E-03 0.1076374512E-01 0.4692415785E-03 -0.5401512974E+02 -0.2961824943E-03
0.3028474141E-03 0.1087812032E-01 0.4743716201E-03 -0.5401475565E+02 -0.2994205450E-03
0.3061499309E-03 0.1099340687E-01 0.4795445907E-03 -0.5401436463E+02 -0.3026856922E-03
0.3094800837E-03 0.1110961194E-01 0.4847608496E-03 -0.5401395665E+02 -0.3059781626E-03
0.3128381037E-03 0.1122674270E-01 0.4900207590E-03 -0.5401353172E+02 -0.3092981849E-03
0.3162242241E-03 0.1134480641E-01 0.4953246842E-03 -0.5401308985E+02 -0.3126459897E-03
0.3196386801E-03 0.1146381038E-01 0.5006729934E-03 -0.5401263106E+02 -0.3160218094E-03
0.3230817087E-03 0.1158376196E-01 0.5060660583E-03 -0.5401215539E+02 -0.3194258785E-03
0.3265535492E-03 0.1170466856E-01 0.5115042531E-03 -0.5401166289E+02 -0.3228584333E-03
0.3300544425E-03 0.1182653765E-01 0.5169879557E-03 -0.5401115360E+02 -0.3263197123E-03
0.3335846319E-03 0.1194937675E-01 0.5225175468E-03 -0.5401062759E+02 -0.3298099558E-03
0.3371443624E-03 0.1207319344E-01 0.5280934105E-03 -0.5401008494E+02 -0.3333294062E-03
0.3407338812E-03 0.1219799535E-01 0.5337159339E-03 -0.5400952572E+02 -0.3368783079E-03
0.3443534378E-03 0.1232379016E-01 0.5393855075E-03 -0.5400895002E+02 -0.3404569073E-03
0.3480032833E-03 0.1245058561E-01 0.5451025250E-03 -0.5400835794E+02 -0.3440654530E-03
0.3516836713E-03 0.1257838952E-01 0.5508673835E-03 -0.5400774957E+02 -0.3477041956E-03
0.3553948573E-03 0.1270720973E-01 0.5566804833E-03 -0.5400712503E+02 -0.3513733877E-03
0.3591370991E-03 0.1283705415E-01 0.5625422281E-03 -0.5400648441E+02 -0.3550732842E-03
0.3629106565E-03 0.1296793077E-01 0.5684530249E-03 -0.5400582785E+02 -0.3588041419E-03
0.3667157917E-03 0.1309984760E-01 0.5744132843E-03 -0.5400515545E+02 -0.3625662201E-03
0.3705527688E-03 0.1323281274E-01 0.5804234201E-03 -0.5400446733E+02 -0.3663597799E-03
0.3744218543E-03 0.1336683433E-01 0.5864838497E-03 -0.5400376364E+02 -0.3701850848E-03
0.3783233169E-03 0.1350192058E-01 0.5925949941E-03 -0.5400304448E+02 -0.3740424004E-03
0.3822574275E-03 0.1363807976E-01 0.5987572775E-03 -0.5400230999E+02 -0.3779319946E-03
0.3862244594E-03 0.1377532018E-01 0.6049711279E-03 -0.5400156031E+02 -0.3818541375E-03
0.3902246880E-03 0.1391365023E-01 0.6112369769E-03 -0.5400079557E+02 -0.3858091015E-03
0.3942583911E-03 0.1405307836E-01 0.6175552596E-03 -0.5400001590E+02 -0.3897971613E-03
0.3983258489E-03 0.1419361308E-01 0.6239264148E-03 -0.5399922142E+02 -0.3938185938E-03
0.4024273438E-03 0.1433526294E-01 0.6303508849E-03 -0.5399841229E+02 -0.3978736782E-03
0.4065631606E-03 0.1447803658E-01 0.6368291160E-03 -0.5399758863E+02 -0.4019626962E-03
0.4107335865E-03 0.1462194269E-01 0.6433615581E-03 -0.5399675058E+02 -0.4060859317E-03
0.4149389112E-03 0.1476699003E-01 0.6499486647E-03 -0.5399589827E+02 -0.4102436710E-03
0.4191794267E-03 0.1491318740E-01 0.6565908934E-03 -0.5399503182E+02 -0.4144362030E-03
0.4234554275E-03 0.1506054369E-01 0.6632887055E-03 -0.5399415138E+02 -0.4186638187E-03
0.4277672105E-03 0.1520906784E-01 0.6700425659E-03 -0.5399325707E+02 -0.4229268117E-03
0.4321150752E-03 0.1535876885E-01 0.6768529438E-03 -0.5399234901E+02 -0.4272254781E-03
0.4364993234E-03 0.1550965579E-01 0.6837203122E-03 -0.5399142733E+02 -0.4315601164E-03
0.4409202597E-03 0.1566173781E-01 0.6906451479E-03 -0.5399049216E+02 -0.4359310277E-03
0.4453781911E-03 0.1581502409E-01 0.6976279318E-03 -0.5398954361E+02 -0.4403385153E-03
0.4498734271E-03 0.1596952390E-01 0.7046691488E-03 -0.5398858181E+02 -0.4447828855E-03
0.4544062800E-03 0.1612524658E-01 0.7117692880E-03 -0.5398760686E+02 -0.4492644469E-03
0.4589770644E-03 0.1628220152E-01 0.7189288424E-03 -0.5398661887E+02 -0.4537835107E-03
0.4635860979E-03 0.1644039818E-01 0.7261483093E-03 -0.5398561797E+02 -0.4583403906E-03
0.4682337005E-03 0.1659984608E-01 0.7334281898E-03 -0.5398460425E+02 -0.4629354033E-03
0.4729201949E-03 0.1676055484E-01 0.7407689897E-03 -0.5398357782E+02 -0.4675688677E-03
0.4776459066E-03 0.1692253411E-01 0.7481712188E-03 -0.5398253878E+02 -0.4722411056E-03
0.4824111638E-03 0.1708579362E-01 0.7556353909E-03 -0.5398148721E+02 -0.4769524415E-03
0.4872162974E-03 0.1725034317E-01 0.7631620246E-03 -0.5398042323E+02 -0.4817032026E-03
0.4920616410E-03 0.1741619264E-01 0.7707516425E-03 -0.5397934690E+02 -0.4864937188E-03
0.4969475313E-03 0.1758335195E-01 0.7784047717E-03 -0.5397825833E+02 -0.4913243228E-03
0.5018743074E-03 0.1775183112E-01 0.7861219437E-03 -0.5397715759E+02 -0.4961953500E-03
0.5068423115E-03 0.1792164023E-01 0.7939036943E-03 -0.5397604476E+02 -0.5011071387E-03
0.5118518887E-03 0.1809278941E-01 0.8017505640E-03 -0.5397491991E+02 -0.5060600300E-03
0.5169033867E-03 0.1826528889E-01 0.8096630978E-03 -0.5397378312E+02 -0.5110543678E-03
0.5219971565E-03 0.1843914896E-01 0.8176418450E-03 -0.5397263445E+02 -0.5160904990E-03
0.5271335517E-03 0.1861437997E-01 0.8256873599E-03 -0.5397147397E+02 -0.5211687733E-03
0.5323129290E-03 0.1879099236E-01 0.8338002011E-03 -0.5397030173E+02 -0.5262895434E-03
0.5375356482E-03 0.1896899663E-01 0.8419809320E-03 -0.5396911780E+02 -0.5314531649E-03
0.5428020718E-03 0.1914840335E-01 0.8502301208E-03 -0.5396792222E+02 -0.5366599964E-03
0.5481125657E-03 0.1932922318E-01 0.8585483403E-03 -0.5396671504E+02 -0.5419103994E-03
0.5534674986E-03 0.1951146683E-01 0.8669361682E-03 -0.5396549631E+02 -0.5472047386E-03
0.5588672424E-03 0.1969514510E-01 0.8753941870E-03 -0.5396426607E+02 -0.5525433816E-03
