# Atomic ae- and pseudo- wavefunctions
#local 2
#l=0 r_rec=0.90
0.6316223028E-04 0.2141165281E-02 0.8330717850E-04 -0.5200905002E+02 0.3047204794E-03
0.6448857280E-04 0.2185227682E-02 0.8505654446E-04 -0.5200942682E+02 0.3111192992E-03
0.6582601436E-04 0.2229638934E-02 0.8682054937E-04 -0.5200979784E+02 0.3175716653E-03
0.6717464783E-04 0.2274401975E-02 0.8859931575E-04 -0.5201016239E+02 0.3240780258E-03
0.6853456687E-04 0.2319519767E-02 0.9039296712E-04 -0.5201051982E+02 0.3306388325E-03
0.6990586593E-04 0.2364995287E-02 0.9220162804E-04 -0.5201086953E+02 0.3372545410E-03
0.7128864022E-04 0.2410831535E-02 0.9402542411E-04 -0.5201121097E+02 0.3439256107E-03
0.7268298578E-04 0.2457031531E-02 0.9586448199E-04 -0.5201154362E+02 0.3506525050E-03
0.7408899943E-04 0.2503598313E-02 0.9771892939E-04 -0.5201186705E+02 0.3574356910E-03
0.7550677882E-04 0.2550534943E-02 0.9958889509E-04 -0.5201218086E+02 0.3642756397E-03
0.7693642240E-04 0.2597844503E-02 0.1014745089E-03 -0.5201248470E+02 0.3711728262E-03
0.7837802946E-04 0.2645530095E-02 0.1033759019E-03 -0.5201277828E+02 0.3781277293E-03
0.7983170011E-04 0.2693594844E-02 0.1052932060E-03 -0.5201306139E+02 0.3851408321E-03
0.8129753529E-04 0.2742041898E-02 0.1072265544E-03 -0.5201333385E+02 0.3922126217E-03
0.8277563680E-04 0.2790874425E-02 0.1091760814E-03 -0.5201359554E+02 0.3993435890E-03
0.8426610730E-04 0.2840095616E-02 0.1111419223E-03 -0.5201384640E+02 0.4065342294E-03
0.8576905027E-04 0.2889708687E-02 0.1131242137E-03 -0.5201408644E+02 0.4137850422E-03
0.8728457011E-04 0.2939716875E-02 0.1151230931E-03 -0.5201431570E+02 0.4210965308E-03
0.8881277204E-04 0.2990123439E-02 0.1171386996E-03 -0.5201453430E+02 0.4284692031E-03
0.9035376220E-04 0.3040931666E-02 0.1191711729E-03 -0.5201474238E+02 0.4359035711E-03
0.9190764760E-04 0.3092144862E-02 0.1212206543E-03 -0.5201494015E+02 0.4434001509E-03
0.9347453615E-04 0.3143766360E-02 0.1232872860E-03 -0.5201512787E+02 0.4509594633E-03
0.9505453666E-04 0.3195799517E-02 0.1253712116E-03 -0.5201530583E+02 0.4585820332E-03
0.9664775886E-04 0.3248247713E-02 0.1274725759E-03 -0.5201547437E+02 0.4662683899E-03
0.9825431338E-04 0.3301114355E-02 0.1295915247E-03 -0.5201563387E+02 0.4740190672E-03
0.9987431179E-04 0.3354402874E-02 0.1317282052E-03 -0.5201578474E+02 0.4818346033E-03
0.1015078666E-03 0.3408116725E-02 0.1338827657E-03 -0.5201592742E+02 0.4897155411E-03
0.1031550912E-03 0.3462259392E-02 0.1360553560E-03 -0.5201606239E+02 0.4976624277E-03
0.1048161001E-03 0.3516834381E-02 0.1382461268E-03 -0.5201619015E+02 0.5056758151E-03
0.1064910086E-03 0.3571845226E-02 0.1404552303E-03 -0.5201631121E+02 0.5137562597E-03
0.1081799329E-03 0.3627295488E-02 0.1426828200E-03 -0.5201642610E+02 0.5219043227E-03
0.1098829904E-03 0.3683188752E-02 0.1449290504E-03 -0.5201653538E+02 0.5301205700E-03
0.1116002994E-03 0.3739528633E-02 0.1471940777E-03 -0.5201663961E+02 0.5384055720E-03
0.1133319790E-03 0.3796318770E-02 0.1494780591E-03 -0.5201673934E+02 0.5467599042E-03
0.1150781496E-03 0.3853562832E-02 0.1517811531E-03 -0.5201683515E+02 0.5551841468E-03
0.1168389325E-03 0.3911264513E-02 0.1541035199E-03 -0.5201692759E+02 0.5636788846E-03
0.1186144498E-03 0.3969427536E-02 0.1564453205E-03 -0.5201701722E+02 0.5722447078E-03
0.1204048249E-03 0.4028055652E-02 0.1588067177E-03 -0.5201710458E+02 0.5808822110E-03
0.1222101822E-03 0.4087152640E-02 0.1611878754E-03 -0.5201719021E+02 0.5895919942E-03
0.1240306470E-03 0.4146722307E-02 0.1635889591E-03 -0.5201727463E+02 0.5983746622E-03
0.1258663457E-03 0.4206768490E-02 0.1660101353E-03 -0.5201735832E+02 0.6072308249E-03
0.1277174058E-03 0.4267295053E-02 0.1684515724E-03 -0.5201744177E+02 0.6161610973E-03
0.1295839558E-03 0.4328305891E-02 0.1709134398E-03 -0.5201752542E+02 0.6251660996E-03
0.1314661255E-03 0.4389804927E-02 0.1733959084E-03 -0.5201760968E+02 0.6342464571E-03
0.1333640454E-03 0.4451796115E-02 0.1758991508E-03 -0.5201769495E+02 0.6434028005E-03
0.1352778474E-03 0.4514283438E-02 0.1784233407E-03 -0.5201778158E+02 0.6526357655E-03
0.1372076644E-03 0.4577270910E-02 0.1809686533E-03 -0.5201786988E+02 0.6619459933E-03
0.1391536303E-03 0.4640762573E-02 0.1835352656E-03 -0.5201796014E+02 0.6713341306E-03
0.1411158805E-03 0.4704762503E-02 0.1861233557E-03 -0.5201805260E+02 0.6808008292E-03
0.1430945510E-03 0.4769274804E-02 0.1887331033E-03 -0.5201814746E+02 0.6903467466E-03
0.1450897793E-03 0.4834303614E-02 0.1913646897E-03 -0.5201824489E+02 0.6999725457E-03
0.1471017041E-03 0.4899853099E-02 0.1940182976E-03 -0.5201834501E+02 0.7096788949E-03
0.1491304649E-03 0.4965927459E-02 0.1966941113E-03 -0.5201844789E+02 0.7194664684E-03
0.1511762027E-03 0.5032530926E-02 0.1993923166E-03 -0.5201855358E+02 0.7293359458E-03
0.1532390595E-03 0.5099667762E-02 0.2021131010E-03 -0.5201866207E+02 0.7392880124E-03
